詞	頻次	碼（各式，短→長）
第一城	100000	aajifrq aasjifrcxq
多哈	100000	aaoao
筒仔米糕	100000	aaoypivtrvtm aauoypivtjrvtvem
多倫多	100000	aayahaa aayauhaa
多倫多大學	100000	aayahaaiyfi aayauhaaiyfi aayauhaaiyfxxfi
會計	100000	abiot avbiot
會計師	100000	abiotjbm avbiotjbm
會展	100000	abrhk avbrhk
飲茶	100000	aeyhyt aegsyhyt
鄧小平	100000	ajpmivt ajqopmivt
發言人	100000	axioy ajqsxioy
合肥	100000	aoddl
名正言順	100000	aofliojnv aofliojnjdv
名副其實	100000	aoionhevqv aoiootnhevqv aoiootnhevquotv
名列前茅	100000	aojanvdnhpj aojanvdnhppj
名不虛傳	100000	aojqrhiyba aojqrhiybga
劍橋	100000	aontjo aooyntjkoo
劍橋大學	100000	aontjoiyfi aooyntjkooiyfi aooyntjkooiyfxxfi
劍南路	100000	aontufoto aooyntuvfotlxo
劍潭	100000	aonwht aooynwhbt
名古屋	100000	aotorgf
領事	100000	apvioj apjdvioej
領導人	100000	apvvjay apjdvvjdzay
外交部	100000	aqivxivp aqivxivop
鴛鴦	100000	azmukm azjsmukjsm
昆明	100000	bccbd
昆陽	100000	bccpbj bccpbsj
明斯克	100000	bdhettol bdhevrttojl
明德	100000	bdjyw bdjytmw
明尼蘇達	100000	bdrchstfvz bdrchsottfvfz
明朝	100000	bdtbd bdtbtd
日月光	100000	bdwjl
明知故犯	100000	bdykotoxxjz
旺旺	100000	bebe
旺角	100000	besuh
旺角東	100000	besuhtb
里昂	100000	bfbcp
里加	100000	bfcjo
里斯本	100000	bfhettji bfhevrttjri
野田佳彥	100000	bfpotyffixe bfppotyffixre
里郎威	100000	bfqeprrq bfqegprrjxq
是非分明	100000	byjeevpbd bfyjeevpbd
顯徑	100000	bgvjyi bggmvjylli
日元	100000	bijl
景美	100000	bimvek biomvek
日語	100000	bioo biodo
日文	100000	bix
日產	100000	bixf bixrjf
星巴克	100000	bjfdltol bjfdltojl
星幣	100000	bjfvmm bjfvmvxm
星洲炒米	100000	bjfwnnvyjvtr bjfwnnnvymjvtjr
曇花一現	100000	bmghyciedl bmiighyciedjl
曼徹斯特	100000	bmxjyxhetjha bmxjyigxhevrtjhfa
曼谷	100000	bmxvyo
最高領導人	100000	bnxiooapvvjay bnexiouoapjdvvjdzay
日圓	100000	boov boodv
數學	100000	bqxfi bqljxfi bqljxfxxfi
數位部	100000	bqxyivivp bqljxyivivop
早茶	100000	bthyt
日本	100000	btji btjri
愚公移山	100000	buwvgjtaw bugwvgjtaaw
愚人節	100000	buwyaap bugwyaaegp
日內瓦	100000	buyilq buyilzq
比斯凱克	100000	cchetwontol cchevrtwovntojl
比亞迪	100000	ccihiufz
比特幣	100000	ccjhavmm ccjhfavmvxm
比利時	100000	ccjtnba ccjtnbfa
那不勒斯	100000	cpjqhojhet cpjqhotcjhevrt cijpjqhotcjhevrt
那霸	100000	cpmid cpmiihd cijpmiihd
力不從心	100000	cjjqjyjlq cjjqjyjlqq cjjqjyyyyjlqq
加拿大	100000	cjoaojiy cjoaojijiy
賀錦麗	100000	cjvyfmiac cjodvyfvjmiaarc
加彭	100000	cjofoe cjofove
加勒比	100000	cjohojcc cjohotcjcc
加勒比海	100000	cjohojccwyi cjohotcjccwyoi
加元	100000	cjoijl
加利福尼亞	100000	cjojtnqmtrcihi cjojtnqmiotrcihi
加德滿都	100000	cjojywwhyfp cjojytmwwhmyyfp cjojytmwwhmyyfjbp
加州	100000	cjonnn
加州理工	100000	cjonnnebfiji
加密貨幣	100000	cjoquwycvvmm cjoquwjwycdvvmvxm
加幣	100000	cjovmm cjovmvxm
加爾各答	100000	cjovmxxoaao cjovmxxxxoaaao
迦納	100000	cjzgmy cjozgmuy
監察院	100000	ckiqumpql ckamiqudzmpqujl
堅尼地城	100000	ckfrcfplfrq ckxfrcfplfrcxq
鹽酥雞	100000	ckiihtwgf ckytiihijtwgkyf
鹽水雞	100000	ckikwgf ckytikwgkyf
臥薪嘗膽	100000	ckyhitwubdso ckyhivttwuocbdsrvo
民國	100000	clxoq clxooxq
民權西路	100000	clxthfihioto clxthoofihiotlxo
歐巴馬	100000	coydlshm coooydlshm
歐蘭德	100000	coyhpvjyw coooyhpptvjytmw
歐元	100000	coyijl coooyijl
司機	100000	cotgq cotggjq
司法院	100000	cowfgpql cowfgpqujl
迎刃而解	100000	cpzpjjmsuh cpzpjjmsuhph
醫學	100000	cyifi cyknifi cyknifxxfi
醫師	100000	cyijbm cyknijbm
醫生	100000	cyijhi cyknijhi
疑神疑鬼	100000	cyyqmjcyyjbg cykpyqmbjcykpyjbjlg
臉書	100000	dayefb daooyefb
腸粉	100000	dbjvtp dbsjvtvp
眼高手低	100000	dekioojijycq dekiouojijycxq
目瞪口呆	100000	didavoot didajqvoot
見義勇為	100000	djlveqpujwjm djlvejkqpuhcjwjjjm
巴拿馬	100000	dlaojshm dlaojijshm
巴拿馬市	100000	dlaojshmqm dlaojijshmqm
巴貝多	100000	dldvaa
巴基斯坦	100000	dlhefhetfbi dlhevfhevrtfbi
巴勒斯坦	100000	dlhojhetfbi dlhotcjhevrtfbi
巴育	100000	dligd
巴西	100000	dlihi
巴西里拉	100000	dlihibfkiv
巴西利亞	100000	dlihijtnihi
巴黎	100000	dljtk dljtsjk
巴黎世家	100000	dljtkhlqk dljtsjkhlqk dljtsjkhlqujk
巴拉圭	100000	dlkivff
巴拉馬利波	100000	dlkivshmjtnwrx
臘八	100000	dllv dllllv
縣長	100000	dlmfik dlmjmfik
巴哈馬	100000	dloaoshm
巴塞隆納	100000	dlqufpxfgmy dlquhvfpxjfgmuy
巴庫	100000	dlrbt
巴馬科	100000	dlshmjtt dlshmjtit
巴林	100000	dltt
巴格達	100000	dltxofvz dltxofvfz
巴爾幹半島	100000	dlvmxtbfvhjsw dlvmxxxtbtyfvhjsew
巴布亞紐幾內亞	100000	dlxmihigmigquyihi dlxmihigmhigquyihi dlxmihigmhiggjqquyihi
胸有成竹	100000	dsuxdrqkk dsxuxdrqkk dsxuxdrcxqkk
貝里斯	100000	dvbfhet dvbfhevrt
貝里斯市	100000	dvbfhetqm dvbfhevrtqm
貝果	100000	dvbt
騰訊	100000	dvmiot dviymiozt
財政部	100000	dvjflxivp dvtjflxivop
財金	100000	dvjyfv dvtjyfv
腳踏實地	100000	dvpotbqvfpl dvyopotlkbqvfpl dvyopotlkbquotvfpl
貝魯特	100000	dvsobjha dvsotmbjhfa
貝東塔	100000	dvtbfho dvtbfhao
貝南	100000	dvtuf dvtuvf
貝爾格勒	100000	dvvmxtxohoj dvvmxxxtxohotcj
理大	100000	ebfiy
理直氣壯	100000	ebftuiaqtkf ebftueiaqvtkf
現身說法	100000	edljnjiolwfg edjljnejiolwfg edjljnejiovolwfg
現代	100000	edlyxq edjlyxq
現代汽車	100000	edlyxqwazibt edjlyxqwazibt
畫龍點睛	100000	efiivevodfd efotiivdsevodfd efotiivdsevfmtodfd
畫蛇添足	100000	efiogcwiqoty efotiogqucwiymqoty
建築	100000	ehzaat ehzaaiat
建築師	100000	ehzaatjbm ehzaaiatjbm
王毅	100000	eivx eivjkx
珀斯	100000	ejbhet ejbhevrt
群創	100000	ejfarn ejovfaron
珠三角	100000	ejtiiisuh
珠海	100000	ejtwyi ejtwyoi
尹錫悅	100000	ejyfjmvl ejyfvbjmvojl
環球	100000	emkekq emiokekq
環球影城	100000	emkekqbiefrq emiokekqbiomefrcxq
環境部	100000	emkfilivp emiokfivblivop
班加羅爾	100000	enecjomgfvmx enecjomgmyfvmxxx
班基	100000	enehef enehevf
印第安納	100000	epaajqujgmy epaasjquljgmuy
印地語	100000	epfplioo epfpliodo
印尼	100000	eprc
印尼語	100000	eprcioo eprciodo
印尼盾	100000	eprcrti eprcrtdi
印度	100000	eprhx
印度次大陸	100000	eprhxisyiypff eprhxisyiypfvf
印度尼西亞	100000	eprhxrcihiihi
印度盧比	100000	eprhxroicc eprhxrotmicc
印度洋	100000	eprhxwvf
玻利維亞	100000	erxjtngmfihi erxjtngmyifihi
瑪莎拉蒂	100000	esmhwjkivhim eshmhwmjkivhivum
瑞士	100000	ewmiji ewjmiji
瑞士法郎	100000	ewmijiwfgqep ewjmijiwfgqegp
瑞郎	100000	ewmqep ewjmqegp
瑞典	100000	ewmuhv ewjmuhv
王滬寧	100000	ewrlquj ewrodlquwmj
春節	100000	eybaap eybaaegp
春暖花開	100000	eybbwxhycpph eybbwixhycpph
春秋	100000	eybjty eybjtvy
春捲	100000	eybkvz eybkviyz
珍珠奶茶	100000	eyeejtljphyt
珍奶	100000	eyeljp
王儲	100000	eyib eyiofb
秦朝	100000	eyttbd eyjttbtd
秦剛	100000	eytuvn eyjtuvwn
泰文	100000	eykix
泰國	100000	eykoq eykooxq
泰銖	100000	eykyft eykyfvjt
坦尚尼亞	100000	fbiwuorcihi
北歐	100000	fccoy fccoooy
北達科他	100000	fcfvzjttyl fcfvfzjtityl fcfvfzjtitypl
北京	100000	fciom
北京大學	100000	fciomiyfi fciomiyfxxfi
北大	100000	fciy
北非	100000	fcjee
北科大	100000	fcjttiy fcjtitiy
北投	100000	fcknx
北門	100000	fcpp
北宋	100000	fcqut
北馬其頓	100000	fcshmheviuv fcshmheviuljv
北角	100000	fcsuh
北韓	100000	fctbh fctbtdh
北卡羅來納	100000	fctfmgftyygmy fctfmgmyftyygmuy
北極	100000	fctsi fctsoxi
北美	100000	fcvek
青草茶	100000	fdhbthyt
青藏高原	100000	fdhrqioorjm fdhrckqiouorjbm
青衣	100000	fdijk
青島	100000	fdjsw fdjsew
青海	100000	fdwyi fdwyoi
青年節	100000	fdycjaap fdycjaaegp
兒童節	100000	felivfaap fejlivbfaaegp
埃及	100000	fgkjx fgykjx
塔吉克	100000	fhofotol fhaofotojl
塔林	100000	fhott fhaott
塔什干	100000	fhoytit fhaoytit
堪薩斯	100000	fhlhpfhet fhevlhpixfhevrt
鬆餅	100000	figaeh figegaegvh
長春	100000	fikeyb
長三角	100000	fikiiisuh
長庚大學	100000	fikreyiyfi fikreyiyfxxfi
長沙	100000	fikwmj
長沙灣	100000	fikwmjwis fikwmjwiogs
坑口	100000	fino
壽司	100000	fjaco fjioaco
都會大學	100000	fpabiyfi fjbpavbiyfxxfi
都靈	100000	fpmii fpmiioi fjbpmiioi
都柏林	100000	fptjbtt fjbptjbtt
老闆	100000	fjcppo fjcppooo
老布希	100000	fjcxmxxm
雅加達	100000	fjfcjofvz fjyifcjofvfz
雅典	100000	fjfuhv fjyifuhv
雅溫德	100000	fjfwoijyw fjyifwoymijytmw
牙買加	100000	fjmdvcjo
教育部	100000	fjxigdivp fjpxigdivop
教大	100000	fjxiy fjpxiy
教師	100000	fjxjbm fjpxjbm
教師節	100000	fjxjbmaap fjpxjbmaaegp
教授	100000	fjxkwx fjpxkwux
教宗	100000	fjxqum fjpxquim
教宗方濟各	100000	fjxqumiswidxo fjpxquimiswiypdxo
考試院	100000	fjsioqpql fjsioiqpqujl
政大	100000	flxiy
政府總部	100000	flxryagmwivp flxryagmjowivop
政治學	100000	flxwgofi flxwgofxxfi
政治大學	100000	flxwgoiyfi flxwgoiyfxxfi
赫爾辛基	100000	fnvvmxivfhef fnvfvvmxxxivfhevf
吉里巴斯	100000	fobfdlhet fobfdlhevrt
彭斯	100000	foehet fovehevrt
臺北	100000	foffc fougffc
臺中	100000	fofq fougfq
臺東	100000	foftb fougftb
臺南	100000	foftuf fougftuvf
吉達	100000	fofvz fofvfz
臺灣大學	100000	fofwisiyfi fougfwiogsiyfi fougfwiogsiyfxxfi
遠東	100000	foztb fojkztb
喜馬拉雅山	100000	fooshmkivfjfw fovoshmkivfjyifw
嘉義	100000	fooveq fovcovejkq
嘉伯隆里	100000	fooyjbpxfbf fovcoyjbpxjfbf
吉隆坡	100000	fopxffrx fopxjffrx
戴高樂	100000	foqioojbt fothqiouojbggt
戴卓爾夫人	100000	foqtbtvmxiiyy fothqtbtvmxxxiiyy
戴爾	100000	foqvmx fothqvmxxx
吉林	100000	fott
吉爾吉斯	100000	fovmxfohet fovmxxxfohevrt
吉布地	100000	foxmfpl
吉佳利	100000	foyffjtn
地理	100000	fplebf
地球科學	100000	fplekqjttfi fplekqjtitfi fplekqjtitfxxfi
地拉那	100000	fplkivcp fplkivcijp
地中海	100000	fplqwyi fplqwyoi
城大	100000	frqiy frcxqiy
坎培拉	100000	fsyfiokiv fsyfivokiv
坎帕拉	100000	fsymjbkiv
趙樂際	100000	ftdjbtpdm ftywdjbggtpdzim
超微	100000	ftojyx ftypojywnx
越南	100000	ftqtuf ftycqtuvf
越南語	100000	ftqtufioo ftycqtuvfiodo
越南盾	100000	ftqtufrti ftycqtuvfrtdi
起亞	100000	fzihi ftyzihi
執政黨	100000	fvaflxwum fvfaflxwuovm
執行長	100000	fvajjfik fvfajjfik fvfajyijfik
熱狗	100000	fvmxjo fvfamxjso
幸福	100000	fvfqmt fvfqmiot
達拉斯	100000	fvzkivhet fvfzkivhevrt
達卡	100000	fvztf fvfztf
達美樂	100000	fvzvekjbt fvfzvekjbggt
蛋撻	100000	fygkfz fyogkfvfz
蛋治	100000	fygwgo fyogwgo
晉朝	100000	ggbtbd ggbtbtd
參議員	100000	ggeioqodv gggyeioveqodv
幾內亞	100000	gquyihi ggjqquyihi
幾何	100000	gqyoj ggjqqyoj
約旦	100000	gmabi
約翰遜	100000	gmatbipjz gmatbtyipjgmz
紙上談兵	100000	gmxjiiioyjkv gmcxjiiiovyyjkv
緯創	100000	gmharn gmdoharon
維吉尼亞	100000	gmfforcihi gmyifforcihi
維德角	100000	gmfjywsuh gmyifjytmwsuh
維也納	100000	gmfplgmy gmyifplgmuy
維爾紐斯	100000	gmfvmxgmihet gmyifvmxxxgmhihevrt
綠咖哩	100000	gmkocoobf gmgkocjoobf
絲襪奶茶	100000	gmmqkqljphyt gmgmqkhmqljphyt
編輯	100000	gmhibe gmruhibtoe
紐約	100000	gmigma gmhigma
紐約州	100000	gmigmannn gmhigmannn
紐西蘭	100000	gmiihihpv gmhiihihpptv
紐澤西	100000	gmiwmfihi gmhiwmevfihi
經理	100000	gmiebf gmlliebf
統一	100000	gmli gmigli
統計	100000	gmliot gmigliot
紅豆餅	100000	gmiiovaeh gmiiovaegvh
紅磡	100000	gmijoj gmijohej
緬因州	100000	gmioknnn gmjoioknnn
緬甸	100000	gmisot gmjoisot
紅樹林	100000	gmitfatt gmitfovatt
經濟	100000	gmiwid gmlliwiypd
經濟部	100000	gmiwidivp gmlliwiypdivop
紅海	100000	gmiwyi gmiwyoi
總理	100000	gmwebf gmjowebf
總書記	100000	gmwefbioz gmjowefbioz
總統	100000	gmwgml gmjowgmigl
總統府	100000	gmwgmlrya gmjowgmiglrya
總經理	100000	gmwgmiebf gmjowgmlliebf
網易	100000	gmlbsj gmuvlbsj
網飛	100000	gmlknk gmuvlknk
納吉	100000	gmyfo gmuyfo
納米比亞	100000	gmyvtrccihi gmuyvtjrccihi
台北	100000	gofc
台北車站	100000	gofcibtivo gofcibtivto
台北小巨蛋	100000	gofcmccfyg gofcmccfyog
台北橋	100000	gofctjo gofctjkoo
台語	100000	goioo goiodo
台大	100000	goiy
台大醫院	100000	goiycyipql goiycyknipqujl
台積電	100000	gojtvmil gojtfdvmiibl
台科大	100000	gojttiy gojtitiy
台電大樓	100000	gomiliytbj gomiibliytbqlj
台中	100000	goq
台東	100000	gotb
台南	100000	gotuf gotuvf
台幣	100000	govmm govmvxm
台灣	100000	gowis gowiogs
台灣師大	100000	gowisjbmiy gowiogsjbmiy
葵興	100000	hayfuv hajqyfuofv
葵芳	100000	hayhis hajqyhis
萬那杜	100000	hbgcptf hbugcptf hbugcijptf
萬斯	100000	hbghet hbughevrt
萬芳醫院	100000	hbghiscyipql hbughiscyknipqujl
萬芳社區	100000	hbghisqmfcoo hbughisqmfcooo
萬聖節	100000	hbgnefaap hbugneojfaaegp
萬隆	100000	hbgpxf hbugpxjf
莫斯科	100000	hbkhetjtt hbkhevrtjtit
莫三比克	100000	hbkiiicctol hbkiiicctojl
慕尼黑	100000	hbqrcvfm hbkmqrcvfm
莫迪	100000	hbkufz
葛摩	100000	hblrtj hbsylrttjj
蓮蓉包	100000	hbzhqosz hbtzhquvosz
邁阿密	100000	hbzpojquw hbugzpojquwjw
藍寶堅尼	100000	hciquvckfrc hckaiqueyvckxfrc
荔景	100000	hcjbim hcjcjbiom
荔枝角	100000	hcjttxsuh hcjcjttxsuh
蔡英文	100000	hdmhukix hdzimhukix
蔡奇	100000	hdmkoj hdzimkoj
菲律賓	100000	heejyhquv heejyehqumdv
菲律賓披索	100000	heejyhquvkrxtum heejyehqumdvkrxtugm
基多	100000	hefaa hevfaa
基輔	100000	hefibq hevfibtdq
基隆	100000	hefpxf hevfpxjf
基督城	100000	hefttifrq hevfttvxifrcxq
蕭茲	100000	hehhgg hejhhgg
蕭美琴	100000	hehvekeej hejhvekeeaj
斯里巴加灣	100000	hetbfdlcjowis hevrtbfdlcjowiogs
斯里蘭卡	100000	hetbfhpvtf hevrtbfhpptvtf
斯堪地那維亞	100000	hetfhlfplcpgmfihi hevrtfhevlfplcpgmyifihi hevrtfhevlfplcijpgmyifihi
斯塔默	100000	hetfhovfq hevrtfhaovfmkq
斯科普里	100000	hetjttvnbbf hevrtjtitvnvbbf
斯德哥爾摩	100000	hetjywiojvmxrtj hevrtjytmwiotojvmxxxrttjj
斯圖加特	100000	hetooocjojha hevrtooioocjojhfa
斯洛維尼亞	100000	hetwxogmfrcihi hevrtwxogmyifrcihi
斯洛伐克	100000	hetwxoyxqtol hevrtwxoyxqtojl
蓋亞那	100000	hfiihicp hfgmiihicp hfgmiihicijp
華北	100000	hhhfc
華納	100000	hhhgmy hhhgmuy
華西	100000	hhhihi
華碩	100000	hhhjov hhhjojdv
華中	100000	hhhq
華盛頓	100000	hhhrciiuv hhhrcxqiiuljv
華盛頓州	100000	hhhrciiuvnnn hhhrcxqiiuljvnnn
華東	100000	hhhtb
華南	100000	hhhtuf hhhtuvf
華為	100000	hhhwjm hhhwjjjm
華沙	100000	hhhwmj
華倫	100000	hhhyah hhhyauh
葉里溫	100000	hhtbfwoi hhltbfwoymi
葉劉淑儀	100000	hhtgpnwtxyvq hhltgpvfnwtjvxyvejq
葉門	100000	hhtpp hhltpp
甘比亞	100000	hiccihi
甘肅	100000	hiejh
甘地	100000	hifpl
甘迺迪	100000	hiihzufz
甘拜下風	100000	hijitfnjg hijijetfnjog
芒果冰	100000	hilbtik
董建華	100000	hjfehzhhh hjbfehzhhh
董事長	100000	hjfiojfik hjbfioejfik
藥師	100000	hjtjbm hjbgtjbm
蔥抓餅	100000	hjwkrqaeh hjoxwkrqaegvh
蔥油餅	100000	hjwwufaeh hjoxwwufaegvh
蔣經國	100000	hkagmioq hkdagmllioq hkdagmlliooxq
蔣中正	100000	hkaqfl hkdaqfl
蔣介石	100000	hkaynjo hkdaynjo
世貿	100000	hlgpv hlgpdv
薯條	100000	hmbnxt hmfjbnxt
蘿蔔糕	100000	hmfhstvtm hmgmfhsootvtvem
薑母鴨	100000	hoioibjm hotoioibjsem
觀塘	100000	holfro hooylfreo
苗栗	100000	hotiht
薩科齊	100000	hpfjttiyd hpixfjtitiypkd
薩摩亞	100000	hpfrtjihi hpixfrttjjihi
薩格勒布	100000	hpftxohojxm hpixftxohotcjxm
薩爾瓦多	100000	hpfvmxilqaa hpixfvmxxxilzqaa
茅利塔尼亞	100000	hpjjtnfhorcihi hppjjtnfhaorcihi
蘭州	100000	hpvnnn hpptvnnn
菅義偉	100000	hqbveqydh hqubvejkqydoh
芝加哥	100000	hqzcjoioj hqzcjoiotoj
芝加哥大學	100000	hqzcjoiojiyfi hqzcjoiotojiyfi hqzcjoiotojiyfxxfi
芝山	100000	hqzw
蔚來	100000	hratyy hrimatyy
蘆洲	100000	hriwnn hrotiwnnn
葡萄牙	100000	hsqhswfj hsdqhsywfj
葡萄牙文	100000	hsqhswfjix hsdqhsywfjix
警察	100000	hsoqum hsoxoqudzm
蘇加諾	100000	hstcjoioo hsottcjoiohjo
蘇納克	100000	hstgmytol hsottgmuytojl
蘇瓦	100000	hstilq hsottilzq
蘇利南	100000	hstjtntuf hsottjtntuvf
蘇黎世	100000	hstjtkhl hsottjtsjkhl
蘇州	100000	hstnnn hsottnnn
蘇貞昌	100000	hsttdvbb hsotttdvbb
蘇丹	100000	hstui hsottui
葫洲	100000	htdwnn htodwnnn
蘋果	100000	htvbt htlmvbt
黃埔	100000	huvfdq hufvfdq
黃大仙	100000	huviyyw hufviyyw
黃循財	100000	huvjyidvj hufvjyrtidvtj
黃竹坑	100000	huvkkfin hufvkkfin
黃金海岸	100000	huvyfvwyiwrf hufvyfvwyoiwrf
蒙大拿	100000	hukiyaoj huijkiyaojij
蒙特婁	100000	hukjhabqj huijkjhfabqlj
蒙特維多	100000	hukjhagmfaa huijkjhfagmyifaa
蒙特內哥羅	100000	hukjhauyiojmgf huijkjhfauyiotojmgmyf
蒙古	100000	hukto huijkto
英語	100000	hukioo hukiodo
英文	100000	hukix
英特爾	100000	hukjhavmx hukjhfavmxxx
英國	100000	hukoq hukooxq
英鎊	100000	hukyfs hukyfvis
芬蘭	100000	hvphpv hvphpptv
蒲隆地	100000	hwqpxffpl hwdqpxjffpl
落馬洲	100000	hwoshmwnn hwxoshmwnnn
菠蘿包	100000	hwxhmfsz hwrxhmgmfsz
菠蘿油	100000	hwxhmfwuf hwrxhmgmfwuf
菜寮	100000	hwtqum hwtqukvm
范斯	100000	hwzhet hwzhevrt
艾奎諾	100000	hxkffioo hxkffiohjo
花蓮	100000	hychbz hychbtz
花好月圓	100000	hyclidoov hyclidoodv hycljpidoodv
荃灣	100000	hyewis hyewiogs
荃灣西	100000	hyewisihi hyewiogsihi
舊金山	100000	hyeyfvw hyifeyfvw
荷蘭	100000	hyjhpv hyojhpptv
荷尼阿拉	100000	hyjrcpojkiv hyojrcpojkiv
一箭雙鵰	100000	iaanyixufm iaavdnyifyxufojm
太平洋	100000	iaivtwvf
太和	100000	iajto
太子	100000	iapi
太子港	100000	iapiwhz iapiwhvz
太原	100000	iarjm iarjbm
太古	100000	iato
惠普	100000	ibwvnb ibgwvnvb
輔大	100000	ibqiy ibtdqiy
輔仁大學	100000	ibqyiiyfi ibtdqyiiyfi ibtdqyiiyfxxfi
車輪餅	100000	ibtibhaeh ibtibtahaegvh
車公廟	100000	ibtvgrtd ibtvgrtbtd
車仔麵	100000	ibtypityi ibtypityyyi
連戰	100000	ibzooq ibtzoobtq
連江	100000	ibzwi ibtzwi
五花八門	100000	idhycvpp
一目瞭然	100000	ididkmdm ididkvbmdm ididkvbmdkqm
一見鍾情	100000	idjlyffmfd idjlyfvjfmfd
一敗塗地	100000	idvxwyffpl idvxwyimffpl
五代十國	100000	idyxqtoq idyxqtooxq
一舉兩得	100000	ifshmyyjya ifsfvhmyyjya ifsfvhmyyjyba
一舉成名	100000	ifshrqao ifsfvhrqao ifsfvhrcxqao
一絲不苟	100000	igmmjqhso igmgmjqhso
刻舟求劍	100000	ignjuiikqaon igynjuiikqaooyn
